Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,8800.72881,9043.682367,8832.818519,8733.014287,8673.927195,9187.166344,10019.50225,12191.59773,10446.86321,10495.30473,11920.06109,12038.87159,12313.99736,13101.54182,13300.82461,12372.88478,13195.9359,13672.57666,15501.52634,15743.31076,..
American Samoa,ASM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.194793393,4.099078922,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.287199781,8.809579348
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,18592.24302,18884.17135,21620.46849,22809.08776,24784.96379,31954.15566,37630.76426,39583.93119,43084.29291,50562.86121,53721.41133,49750.69367,48237.89117,51428.19695,44902.38077,44747.75386,45680.53499,38885.53032,39931.21698,40632.23155,42904.82846,41328.6005,37207.222,42072.3411,41992.79336
Andorra,AND,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7,6.8,6.5,6.3,6,5.8,5.6,5.4,5.1,4.9,4.6,4.4,4.2,4,3.9,3.7,3.5,3.3,3.2,3,2.9,2.8,2.7,2.6,..
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.691146451,2.181489718,3.054624234,4.205998556,13.66568876,2.99,10.95,15.03,11.55,14.01,11.17,0.86,4.398375938,3.472053148,8.542107076,4.954613031,4.82255927,0.943571561,-2.580111222,-0.147149825,-1.316361689,-0.702272958,-5.638214717,1.199210521,3.04540301
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,423.3934528,387.6894148,556.8842437,527.4641185,872.657638,982.8055896,1254.696126,1900.723817,2597.963585,3121.348735,4081.717497,3123.698898,3496.784796,4511.153227,4962.552072,5101.983876,5059.080441,3100.830685,1709.515534,2283.214233,2487.500996,2142.238757,1502.950754,1903.717405,2998.501158
Angola,AGO,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,127.1,124.8,121.9,118.5,114.7,110.5,105.9,101,95.9,90.6,85.4,80.4,75.7,71.4,67.2,63.5,60.5,57.9,55.7,53.8,52,50.4,48.7,47.2,..
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.731125092,3.70761791,6.203431254,-4.548003473,1.02744197,6.076543688,5.767028612,6.473831316,12.70814853,9.315383163,-0.014340652,-11.96269725,-7.840594744,-1.958612628,3.3728662,-0.600876397,3.795727613,3.825293099,5.496459204,3.144638239,6.823762231,4.344059831,-17.50218503,6.554899818,8.458733325
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,10029.47775,10379.1604,11010.19746,10502.93881,10549.66619,10968.89268,11650.84848,12808.01015,14310.68623,16006.13611,16457.10406,14530.59869,13404.51602,13117.14694,13686.47659,13350.14914,14004.81121,14861.88271,15862.65166,16110.3124,17514.35586,18187.77971,15284.77238,16740.3482,18745.17351
Antigua and Barbuda,ATG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.9,12.8,12.6,12.3,11.9,11.5,11.1,10.6,10.1,9.7,9.2,8.8,8.3,7.9,7.5,7.1,6.8,6.5,6.2,6,5.7,5.5,5.3,5.2,..
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.943235134,10.39824946,5.243044499
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,8250.673174,7735.32208,7666.517834,7168.975872,2579.488769,3333.152904,4258.160261,5086.627761,5890.978002,7210.595548,8977.506851,8184.389889,10385.96443,12848.74048,13082.66433,13080.25473,12334.79825,13789.06042,12790.26406,14613.03571,11795.16289,9963.674231,8496.428157,10636.11553,13686.00867
Argentina,ARG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,19,18.2,17.6,17,16.4,15.8,15.3,14.8,14.4,14.1,13.7,13.4,12.9,12.4,11.9,11.4,10.9,10.3,9.8,9.1,8.4,7.6,6.8,6.1,..
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.299999988,3.300000001,5.900000003,9.599999999,13.2,14,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.199999999,5.699999999,12.6
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,584.3842673,575.6284792,603.2980252,676.1500113,765.3161777,910.1712617,1166.638204,1608.163409,2109.526385,3064.279961,3908.949057,2917.366245,3143.029482,3462.681774,3643.715404,3833.157071,4017.229913,3666.141825,3679.952349,4041.995072,4391.923274,4828.504889,4505.867746,4966.513471,7014.206592
Armenia,ARM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,29.6,28.3,27,25.8,24.6,23.4,22.3,21.2,20.2,19.2,18.3,17.4,16.6,15.7,15,14.2,13.5,12.9,12.2,11.6,11.1,10.5,10,9.5,..
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.991984449,1.238041842,7.616589113,4.195962803,-0.957771006,1.120879121,7.281025864,-0.384927066,1.138905837,3.0967223,1.833430856,-11.68358552,-2.732595966,3.366778149,-1.035375324,6.429816914,-0.020479214,3.54362966,2.116716123,5.482371174,5.257854913,0.635029788,-18.58909924,17.1725086,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,19742.31674,19833.82675,21023.15751,20913.2995,21377.09519,22050.83093,24104.64618,24975.67326,25833.44562,27665.42647,29011.55925,25739.13725,24452.92836,26044.43593,25609.95572,26515.67808,26942.30798,28421.38649,28451.27374,29326.70806,30918.51522,31902.76258,24487.86357,29342.10073,..
Aruba,ABW,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.613356892,4.956324506,3.901171371,2.041417338,3.993589865,3.111398208,4.216633273,3.15375271,2.740635704,3.777916783,3.568270032,1.870486961,2.20656631,2.391385132,3.902007806,2.578754288,2.579017112,2.152735906,2.730547992,2.282183642,2.883045123,2.171396224,-0.050885336,2.236212439,3.617588572
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,21478.38516,20698.7127,21853.44999,19681.64503,20290.78042,23705.90722,30819.99349,34460.543,36570.76307,41023.75486,49681.21907,42810.46584,52132.46961,62598.68662,68047.37818,68156.3861,62515.31483,56708.9612,49876.71238,53934.15437,57206.99067,54941.06572,51722.069,60444.50236,64491.42989
Australia,AUS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.3,5.2,5.1,5,5,4.9,4.8,4.8,4.7,4.5,4.4,4.2,4,3.8,3.6,3.5,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,..
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.581425815,3.556331247,3.375722147,1.267168189,1.651553922,0.941470921,2.735120222,2.244065325,3.454041836,3.727415301,1.460423676,-3.764578178,1.837093677,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,1.989437162,2.258572433,2.425385361,1.517388583,-6.453968467,4.556850913,4.996942407
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,27361.87511,27183.47593,24625.60072,24558.76368,26527.59309,32294.04886,36889.23351,38417.45779,40669.32696,46915.3374,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50070.40335,48809.22688,53637.70571,52131.44666
Austria,AUT,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,3.9,3.8,3.8,3.7,3.6,3.5,3.3,3.2,3.1,3,3,2.9,2.9,2.9,3,3,..
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.999999612,7.4000013,11.09999914,9.899999865,9.438916269,10.2082994,9.253801797,27.96153811,34.5,24.99999985,10.75897806,9.296363744,5.048944513,0.100000138,2.165239475,5.809800843,2.750506815,1.093975916,-3.09999988,0.199999939,1.5,2.500000067,-4.300000102,5.616451029,4.616522963
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,561.9070354,573.8932966,655.0974326,703.6712504,763.1087646,883.6925807,1045.014165,1578.36733,2472.957257,3851.331012,5574.470962,4950.397437,5843.533768,7189.815151,7495.861942,7875.344611,7890.83525,5500.50462,3880.686267,4147.198619,4739.795242,4805.753718,4229.910649,5408.045352,7736.701232
Azerbaijan,AZE,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,68.3,64.8,61.1,57.3,53.6,50.2,47.1,44.2,41.6,39.2,36.8,34.6,32.5,30.5,28.5,26.7,25,23.3,21.8,20.4,19.2,18.2,17.4,16.6,..
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.503596622,12.19751829,4.149234046,2.625159596,2.704670969,-1.264526295,0.882740185,3.395260082,2.516853933,1.446733889,-2.323507236,-4.175805556,1.538385972,0.613384158,3.086879177,-2.863293945,1.84730294,0.996800846,-0.067012845,2.415312842,1.533237259,-0.743977998,-23.50817631,16.98466528,14.36896003
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,21665.38786,23991.7008,24849.60648,25234.14415,26590.14018,26204.8805,26393.41395,28280.87084,28829.84938,29687.86522,29013.63029,27120.69055,27046.65767,26644.92658,28059.6554,27389.60197,28720.66219,29724.95334,29675.53589,30708.98702,31483.97884,32279.01136,23998.26802,28260.43255,31458.30081
"Bahamas, The",BHS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,14.2,14,14,14.1,14.2,14.4,14.5,14.5,14.4,14.2,13.9,13.6,13.3,13,12.7,12.4,12.2,12,11.9,11.8,11.7,15.4,11.5,11.4,..
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.790002789,4.29999896,5.300070056,2.490948108,3.348550668,6.296441979,6.980960594,6.768997871,6.467000122,8.293960448,6.245010775,2.539885936,4.334299173,1.983515012,3.72810843,5.41683981,4.350390853,2.485378558,3.558128119,4.290949778,2.111130473,2.166964669,-4.644637359,2.669708714,4.860858272
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,9195.426527,9566.096024,12738.77412,12291.83261,12819.99594,14230.29675,15777.96364,17705.23516,19057.7989,20883.54803,23155.82145,19448.18326,21186.81433,23741.55746,25102.72635,25790.73031,25464.7601,22795.44886,22867.18112,24349.90987,25415.84662,25869.11291,23433.18724,26860.0725,30152.03468
Bahrain,BHR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.1,11.3,10.7,10.3,10,9.7,9.4,9.1,8.8,8.4,8,7.6,7.3,7,6.7,6.6,6.5,6.4,6.3,6.2,6.1,6.1,6,5.9,..
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.177026873,4.670156369,5.293294719,5.077287775,3.83312394,4.7395674,5.23953291,6.535944941,6.671904981,7.058599357,6.013789759,5.045124794,5.571788188,6.464379123,6.521458781,6.013605658,6.061059359,6.552639879,7.113478213,6.590249998,7.31941263,7.881906729,3.448025628,6.938679124,7.099828776
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,401.9651801,404.4861431,413.1001853,410.0485409,407.9629676,440.7144048,469.1164584,492.8086489,503.5383322,552.3389345,630.1089792,698.5209416,776.8595769,856.3818868,876.8180068,973.7739002,1108.514957,1236.004398,1659.962489,1815.610191,1963.412707,2122.078386,2233.305893,2457.924049,2688.30395
Bangladesh,BGD,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,70,66.5,63.1,60,57,54.3,51.8,49.3,47,44.8,42.7,40.7,38.9,37.2,35.5,34,32.4,31,29.5,28.1,26.7,25.3,24.1,22.9,..
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.728464901,0.334655429,4.447189623,-2.365464222,0.787401575,2.175480769,1.411598635,3.955457604,6.112712564,2.077648925,0.640098144,-5.017744492,-2.365164703,-0.687779068,-0.432679127,-1.447406818,-0.087262953,2.472619872,2.533024882,0.456290513,-1.0271391,-0.131147253,-13.31102153,-0.189272866,9.998995328
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,10685.26061,11173.94937,11560.2459,11510.04043,11658.62904,11998.17569,12828.43895,14173.75138,15595.63946,17219.04868,17550.66334,16310.46053,16489.79582,16907.20926,16691.33264,16893.60627,16924.19034,16990.21947,17343.72544,17843.19793,18224.89059,19002.96238,16643.80658,17225.4623,20018.51515
Barbados,BRB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.4,13.6,13.8,14,14.2,14.3,14.4,14.4,14.3,14.2,14.1,13.9,13.8,13.7,13.6,13.5,13.3,13,12.8,12.5,12.1,11.7,11.4,11.1,..
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.39999142,3.399999163,5.80000344,4.725305994,5.04526748,7.043192559,11.44974311,9.400001524,9.999994812,8.600006536,10.19999944,0.19999531,7.798266823,5.37870745,1.687135536,1.003470841,1.726209959,-3.829663071,-2.525831409,2.53162368,3.149639499,1.446206671,-0.672904125,2.438866081,-4.697449707
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,1511.325316,1210.61172,1276.288034,1244.373185,1479.383417,1819.525792,2378.339757,3126.071767,3848.216026,4735.484753,6376.183153,5352.489591,6034.678852,6527.654969,6953.217307,7998.077953,8341.288104,5967.069185,5039.776032,5785.534975,6360.05206,6837.767232,6542.86454,7489.718947,7904.856243
Belarus,BLR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.4,10.7,10,9.2,8.5,7.8,7.3,6.7,6.2,5.6,5.1,4.6,4.3,4,3.7,3.5,3.3,3.1,2.9,2.7,2.5,2.4,2.2,2.1,..
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.961808272,3.542743464,3.716679384,1.099618888,1.706884585,1.037982549,3.571204343,2.321737054,2.552349944,3.676881136,0.446928735,-2.020743062,2.864292708,1.694513899,0.739217283,0.459242193,1.578533143,2.041459009,1.266686409,1.619580278,1.792945193,2.261568321,-5.36258592,6.285931393,3.247837207
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,25338.44329,25252.80191,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46641.71166,45517.90382,51268.38804,49582.82536
Belgium,BEL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.2,5,4.8,4.7,4.5,4.4,4.3,4.2,4,3.9,3.8,3.8,3.7,3.6,3.5,3.4,3.4,3.4,3.3,3.4,3.4,3.4,3.4,3.4,..
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.927068724,8.951866847,13.00578035,5.042016807,5.113043478,9.331568498,4.630750605,2.198437952,4.585338239,3.274695535,-1.519916143,-0.452368281,1.25634857,-0.105596621,3.858350951,4.529262087,4.089581305,3.367633302,0.113122172,-1.694915254,1.103448276,4.502046385,-13.40295909,15.22110553,12.12874526
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4063.901968,4189.350028,4642.147035,4687.625957,4816.650846,4916.703914,5106.053034,5212.661614,5475.72291,5707.113365,5656.408361,5348.997839,5397.291575,5521.366276,5645.895822,5887.933435,6068.088609,6142.478833,6148.706961,6100.994681,6059.162553,6210.565543,5266.87616,6228.267309,6968.361585
Belize,BLZ,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,21.5,20.7,20,19.4,18.9,18.5,18.1,17.9,17.6,17.3,17,16.6,16.2,15.7,15.2,14.5,13.9,13.2,12.5,11.8,11.2,10.6,10.1,9.6,..
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.961012138,5.341449372,5.857714205,5.333135706,4.643030871,3.443576776,4.429684554,1.713164564,3.943738828,5.986349322,4.896577084,2.319292139,2.114064726,2.963752919,4.811223316,7.191433721,6.357679098,1.77815106,3.339673426,5.671555469,6.697259461,6.865687336,3.8487924,7.155451646,6.253244914
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,372.8773468,541.702259,502.997981,508.3474475,564.3790581,698.4087771,784.1190746,805.9046858,837.1320026,944.6431712,1098.946678,1061.718359,1009.489494,1099.414311,1112.569535,1214.295566,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.965533,1237.949295,1361.100749,1303.222014
Benin,BEN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,88.6,86.8,85,83.3,81.5,79.8,78.2,76.6,75.1,73.7,72.3,70.9,69.6,68.4,67.1,65.8,64.6,63.3,62,60.8,59.5,58,56.6,55.2,..
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.900000094,3.38264702,9.317156411,7.222435538,-1.477790598,3.410706677,2.321267223,1.674206114,5.54386638,3.345139709,-1.865955826,-5.626697711,-2.502878289,-3.742744317,-5.305299107,-0.279708545,-3.701067594,0.7755297,-0.657206304,3.611419837,-0.4328013,0.306266735,-6.837955191,3.013816439,2.927112949
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107791.8864,111774.6691,118845.6211
Bermuda,BMU,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.914030835,7.983972022,3.355068285,8.348954483,10.99228184,7.823302361,6.008742236,7.287249352,6.999738095,18.36085406,4.799460612,6.748333748,11.945896,7.982617041,5.118400858,2.119972633,5.77649568,6.642232105,8.127033538,4.651834675,3.055129837,5.755169993,-10.00969933,4.087618878,..
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,652.3610292,699.3313305,722.8267562,765.0092339,841.3663104,951.7391671,1050.133115,1201.433648,1299.631249,1714.031072,1780.112218,1768.745957,2194.12587,2491.273456,2470.072136,2409.439989,2589.899141,2695.636904,2879.546572,3240.706326,3210.707814,3303.962309,3009.925516,3266.362774,..
Bhutan,BTN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,63,60.1,57.4,54.7,52.1,49.6,47.1,44.7,42.3,40.1,38,36,34.1,32.5,31,29.7,28.5,27.4,26.4,25.5,24.7,23.9,23.1,22.5,..
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.029354755,0.426885423,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564384269,6.148497875,3.356999574,4.126722591,5.204092443,5.122275581,6.796011428,5.460569506,4.85718718,4.263920864,4.195206334,4.223623653,2.21670564,-8.737884358,6.105804204,3.070054644
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,1025.409433,981.7529219,977.3294704,930.8757313,888.198576,892.3553805,951.9516229,1018.313662,1200.068092,1351.035154,1687.578567,1725.146286,1922.058662,2304.982295,2562.466784,2853.797162,3022.462884,2975.648811,3013.502707,3280.008214,3471.006951,3472.380831,3068.812555,3345.196588,3523.273733
Bolivia,BOL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,61.5,58.6,55.8,53.1,50.5,47.9,45.5,43.2,41,38.9,36.9,35,33.2,31.5,29.8,28.3,26.9,25.6,24.5,23.5,22.6,21.7,20.9,20.2,..
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,15.59999669,9.599999716,12.76546946,2.423313172,5.027444207,3.867138795,6.325266169,3.89717799,5.414003571,5.857126342,5.443831035,-3.00445593,0.86566926,0.959511247,-0.821836474,2.349856663,1.153851092,4.314750611,3.242255212,3.244100959,3.827499205,2.887343344,-3.015095148,7.391652626,3.896807742
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,1000.417072,1128.398647,1332.210523,1382.767724,1602.56371,2031.402244,2451.577258,2741.080141,3170.174873,3936.932459,4846.792101,4542.310904,4506.933669,4980.906155,4688.345902,5025.240652,5196.969426,4654.609552,4917.263698,5327.393184,6024.491546,6094.723214,6095.102479,7230.198163,7585.375002
Bosnia and Herzegovina,BIH,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,9.6,9.1,8.7,8.4,8.2,8,7.9,7.8,7.5,7.2,6.9,6.6,6.3,6,5.8,5.6,5.5,5.4,5.4,5.3,5.2,5.1,5,4.8,..
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.443663586,9.667240703,1.987695834,0.25057395,6.069530876,4.62589475,2.705821706,4.556645653,8.363871093,5.792555777,3.252072958,-14.14423462,10.12220912,6.838529748,-0.170900761,11.10282378,5.69696454,-4.850991817,7.201819029,4.113051182,4.189846946,3.032556556,-8.729451498,11.87035831,5.782349221
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,2893.328745,3242.13716,3351.696517,3115.679,3029.788522,4111.738085,4818.213103,5240.316159,5142.913834,5372.340732,5345.848491,4938.250136,6041.732051,7080.778297,6392.987347,6436.603063,6844.032996,5869.737772,6411.551666,6705.341062,6947.817841,6691.161051,5875.070606,7238.796096,7737.654681
Botswana,BWA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,36.6,36.1,35.1,34.7,36,38.4,41.1,41.4,43.5,47.3,49.4,48.7,48.3,48,42.9,39.7,38.7,36.6,35.3,32.3,30.9,29.9,29,28.3,..
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.338097901,0.467937566,4.387949447,1.389896401,3.053461859,1.140828998,5.759964637,3.202132061,3.961988711,6.069870607,5.094195447,-0.125812002,7.528225818,3.974423079,1.921175986,3.004822669,0.50395574,-3.545763393,-3.275916908,1.322869054,1.783666762,1.220777824,-3.276758796,4.988849701,2.900530615
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,5049.76612,3456.423595,3726.81142,3142.235528,2824.715396,3056.64968,3623.223905,4773.26848,5866.024313,7323.19034,8801.759475,8569.901805,11249.29374,13200.55817,12327.51556,12258.56485,12071.40465,8783.214413,8680.735421,9896.717511,9121.020092,8845.323931,6923.700197,7696.785531,8917.673898
